feedback_id,case_id,contact_id,dealer_id,vehicle_id,survey_date_key,csat_score,nps_score,comment_text
FDB-00157,CASE-00387,CON-02590,DLR-08,VHL-029,20231121,5,9,Quick resolution and good communication
FDB-00158,CASE-00390,CON-02797,DLR-04,VHL-001,20240704,4,7,Issue solved with minor delays
FDB-00159,CASE-00391,CON-01151,DLR-03,VHL-032,20230129,3,5,Problem solved but took longer than expected
FDB-00160,CASE-00392,CON-01562,DLR-04,VHL-030,20240910,5,10,Very smooth service experience
FDB-00161,CASE-00393,CON-05395,DLR-08,VHL-030,20230330,3,7,Problem solved but took longer than expected
FDB-00162,CASE-00394,CON-01452,DLR-08,VHL-033,20240831,5,9,Excellent support from the service team
FDB-00163,CASE-00398,CON-04445,DLR-03,VHL-033,20241212,5,10,Quick resolution and good communication
FDB-00164,CASE-00400,CON-00464,DLR-01,VHL-043,20231003,2,4,Service delay caused frustration
FDB-00165,CASE-00401,CON-04434,DLR-05,VHL-014,20230211,5,10,Excellent support from the service team
FDB-00166,CASE-00403,CON-02562,DLR-07,VHL-044,20231003,5,10,Excellent support from the service team
FDB-00167,CASE-00404,CON-03013,DLR-11,VHL-042,20230611,5,10,Very smooth service experience
FDB-00168,CASE-00405,CON-01532,DLR-11,VHL-005,20231123,5,10,Very smooth service experience
FDB-00169,CASE-00406,CON-02708,DLR-05,VHL-001,20230427,4,8,Satisfied but communication could improve
FDB-00170,CASE-00408,CON-04139,DLR-09,VHL-005,20241127,4,7,Issue solved with minor delays
FDB-00171,CASE-00423,CON-05370,DLR-03,VHL-043,20230828,2,2,Needed multiple follow-ups to get help
FDB-00172,CASE-00429,CON-03807,DLR-05,VHL-009,20240303,4,8,Issue solved with minor delays
FDB-00173,CASE-00432,CON-03848,DLR-06,VHL-025,20241022,4,7,Issue solved with minor delays
FDB-00174,CASE-00435,CON-01357,DLR-03,VHL-029,20230105,4,7,Satisfied but communication could improve
FDB-00175,CASE-00441,CON-03439,DLR-09,VHL-044,20240119,4,7,Good overall service
FDB-00176,CASE-00445,CON-00059,DLR-04,VHL-001,20231022,5,10,Excellent support from the service team
FDB-00177,CASE-00450,CON-00723,DLR-10,VHL-028,20230415,4,7,Good overall service
FDB-00178,CASE-00453,CON-01290,DLR-11,VHL-001,20230916,5,10,Excellent support from the service team
FDB-00179,CASE-00454,CON-04503,DLR-02,VHL-006,20240620,4,7,Issue solved with minor delays
FDB-00180,CASE-00462,CON-05085,DLR-08,VHL-024,20230127,4,7,Issue solved with minor delays
FDB-00181,CASE-00464,CON-05623,DLR-06,VHL-026,20230121,3,6,Average experience
FDB-00182,CASE-00465,CON-02666,DLR-10,VHL-007,20230603,4,8,Issue solved with minor delays
FDB-00183,CASE-00466,CON-04086,DLR-06,VHL-012,20240319,4,8,Good overall service
FDB-00184,CASE-00467,CON-01873,DLR-10,VHL-044,20230402,5,10,Very smooth service experience
FDB-00185,CASE-00469,CON-04606,DLR-05,VHL-017,20240722,4,7,Issue solved with minor delays
FDB-00186,CASE-00470,CON-02129,DLR-12,VHL-022,20230308,5,10,Very smooth service experience
FDB-00187,CASE-00472,CON-00643,DLR-08,VHL-029,20240508,3,7,Problem solved but took longer than expected
FDB-00188,CASE-00474,CON-04960,DLR-12,VHL-018,20240419,3,6,Problem solved but took longer than expected
FDB-00189,CASE-00477,CON-05064,DLR-02,VHL-017,20241228,4,8,Issue solved with minor delays
FDB-00190,CASE-00478,CON-00235,DLR-09,VHL-011,20230330,3,6,Service was acceptable
FDB-00191,CASE-00481,CON-02487,DLR-05,VHL-010,20230922,3,6,Problem solved but took longer than expected
FDB-00192,CASE-00484,CON-05609,DLR-10,VHL-045,20230622,3,5,Service was acceptable
FDB-00193,CASE-00485,CON-05218,DLR-05,VHL-008,20230512,4,8,Satisfied but communication could improve
FDB-00194,CASE-00487,CON-03443,DLR-04,VHL-022,20230112,3,6,Problem solved but took longer than expected
FDB-00195,CASE-00488,CON-02184,DLR-03,VHL-004,20230225,4,8,Issue solved with minor delays
FDB-00196,CASE-00490,CON-01708,DLR-09,VHL-043,20240712,3,5,Service was acceptable
FDB-00197,CASE-00491,CON-01001,DLR-09,VHL-034,20240624,4,7,Issue solved with minor delays
FDB-00198,CASE-00492,CON-03557,DLR-04,VHL-041,20241210,4,8,Satisfied but communication could improve
FDB-00199,CASE-00494,CON-00490,DLR-11,VHL-004,20241208,3,7,Service was acceptable
FDB-00200,CASE-00497,CON-00565,DLR-09,VHL-011,20241028,3,6,Service was acceptable
FDB-00201,CASE-00499,CON-04076,DLR-09,VHL-044,20231009,4,8,Good overall service
FDB-00202,CASE-00503,CON-05054,DLR-12,VHL-004,20240818,3,6,Average experience
FDB-00203,CASE-00504,CON-04356,DLR-02,VHL-015,20240114,5,10,Quick resolution and good communication
FDB-00204,CASE-00505,CON-04724,DLR-02,VHL-041,20231027,5,10,Excellent support from the service team
FDB-00205,CASE-00506,CON-05387,DLR-09,VHL-022,20240205,2,3,Service delay caused frustration
FDB-00206,CASE-00513,CON-03413,DLR-06,VHL-028,20240716,4,8,Issue solved with minor delays
FDB-00207,CASE-00517,CON-03239,DLR-04,VHL-032,20231221,3,6,Average experience
FDB-00208,CASE-00521,CON-02813,DLR-05,VHL-001,20230417,4,8,Issue solved with minor delays
FDB-00209,CASE-00522,CON-02119,DLR-09,VHL-034,20230601,4,8,Good overall service
FDB-00210,CASE-00526,CON-00326,DLR-12,VHL-002,20231203,5,9,Quick resolution and good communication
FDB-00211,CASE-00528,CON-01848,DLR-09,VHL-018,20230121,4,9,Good overall service
FDB-00212,CASE-00529,CON-01864,DLR-11,VHL-044,20240516,3,6,Problem solved but took longer than expected
FDB-00213,CASE-00530,CON-01136,DLR-04,VHL-042,20240128,3,5,Problem solved but took longer than expected
FDB-00214,CASE-00533,CON-01078,DLR-04,VHL-007,20230418,3,6,Problem solved but took longer than expected
FDB-00215,CASE-00535,CON-03882,DLR-07,VHL-032,20230518,4,9,Satisfied but communication could improve
FDB-00216,CASE-00536,CON-01676,DLR-11,VHL-013,20230609,5,10,Very smooth service experience
FDB-00217,CASE-00539,CON-04569,DLR-07,VHL-003,20240114,4,7,Issue solved with minor delays
FDB-00218,CASE-00542,CON-04836,DLR-03,VHL-030,20231123,4,9,Satisfied but communication could improve
FDB-00219,CASE-00544,CON-03103,DLR-10,VHL-011,20241213,3,7,Service was acceptable
FDB-00220,CASE-00551,CON-04510,DLR-02,VHL-028,20231003,4,8,Good overall service
FDB-00221,CASE-00561,CON-00958,DLR-03,VHL-039,20240313,5,9,Excellent support from the service team
FDB-00222,CASE-00563,CON-03954,DLR-09,VHL-002,20230306,3,7,Problem solved but took longer than expected
FDB-00223,CASE-00565,CON-02731,DLR-10,VHL-006,20230202,4,7,Satisfied but communication could improve
FDB-00224,CASE-00569,CON-00441,DLR-02,VHL-025,20240509,3,5,Problem solved but took longer than expected
FDB-00225,CASE-00571,CON-01080,DLR-08,VHL-037,20240702,4,9,Good overall service
FDB-00226,CASE-00573,CON-03994,DLR-06,VHL-030,20230830,5,10,Very smooth service experience
FDB-00227,CASE-00579,CON-01202,DLR-11,VHL-001,20241019,4,8,Good overall service
FDB-00228,CASE-00580,CON-02495,DLR-10,VHL-044,20230814,2,2,Needed multiple follow-ups to get help
FDB-00229,CASE-00586,CON-01850,DLR-07,VHL-023,20240820,4,7,Good overall service
FDB-00230,CASE-00589,CON-05604,DLR-11,VHL-005,20240428,5,10,Excellent support from the service team
FDB-00231,CASE-00590,CON-03844,DLR-08,VHL-033,20230111,2,5,Needed multiple follow-ups to get help
FDB-00232,CASE-00592,CON-00676,DLR-05,VHL-032,20240328,4,7,Good overall service
FDB-00233,CASE-00593,CON-04947,DLR-01,VHL-008,20240914,4,8,Good overall service
FDB-00234,CASE-00594,CON-00272,DLR-03,VHL-034,20230619,3,6,Problem solved but took longer than expected
FDB-00235,CASE-00601,CON-02880,DLR-11,VHL-029,20240121,5,9,Very smooth service experience
FDB-00236,CASE-00605,CON-03610,DLR-05,VHL-012,20241126,3,6,Average experience
FDB-00237,CASE-00609,CON-05647,DLR-01,VHL-025,20240129,2,4,Needed multiple follow-ups to get help
FDB-00238,CASE-00610,CON-00743,DLR-11,VHL-042,20231016,4,7,Good overall service
FDB-00239,CASE-00613,CON-03681,DLR-08,VHL-035,20240411,4,7,Satisfied but communication could improve
FDB-00240,CASE-00615,CON-01989,DLR-10,VHL-003,20230118,5,10,Very smooth service experience
FDB-00241,CASE-00618,CON-01421,DLR-01,VHL-038,20240727,4,8,Satisfied but communication could improve
FDB-00242,CASE-00619,CON-01093,DLR-10,VHL-003,20230624,4,7,Good overall service
FDB-00243,CASE-00620,CON-00731,DLR-01,VHL-012,20230223,4,7,Satisfied but communication could improve
FDB-00244,CASE-00621,CON-05242,DLR-04,VHL-010,20240522,3,7,Average experience
FDB-00245,CASE-00625,CON-00856,DLR-08,VHL-003,20230828,4,9,Good overall service
FDB-00246,CASE-00626,CON-04750,DLR-08,VHL-038,20230619,3,6,Average experience
FDB-00247,CASE-00628,CON-03060,DLR-03,VHL-025,20240318,4,7,Good overall service
FDB-00248,CASE-00635,CON-05761,DLR-08,VHL-009,20241213,3,6,Service was acceptable
FDB-00249,CASE-00636,CON-04350,DLR-12,VHL-022,20231005,5,10,Excellent support from the service team
FDB-00250,CASE-00640,CON-02890,DLR-04,VHL-021,20240702,4,8,Issue solved with minor delays
FDB-00251,CASE-00641,CON-04358,DLR-02,VHL-031,20240102,3,5,Service was acceptable
FDB-00252,CASE-00643,CON-01674,DLR-08,VHL-010,20240525,4,7,Satisfied but communication could improve
FDB-00253,CASE-00644,CON-00176,DLR-12,VHL-042,20231105,5,9,Excellent support from the service team
FDB-00254,CASE-00652,CON-00958,DLR-11,VHL-036,20230126,5,10,Excellent support from the service team
FDB-00255,CASE-00656,CON-03473,DLR-05,VHL-011,20240803,3,6,Average experience
FDB-00256,CASE-00661,CON-03937,DLR-06,VHL-038,20240314,4,7,Issue solved with minor delays
FDB-00257,CASE-00663,CON-02917,DLR-07,VHL-041,20230717,4,9,Good overall service
FDB-00258,CASE-00664,CON-01370,DLR-02,VHL-039,20230516,4,7,Issue solved with minor delays
FDB-00259,CASE-00665,CON-04378,DLR-06,VHL-007,20240524,4,8,Good overall service
FDB-00260,CASE-00670,CON-00637,DLR-12,VHL-008,20230222,5,9,Excellent support from the service team
FDB-00261,CASE-00674,CON-04401,DLR-05,VHL-011,20230520,3,5,Problem solved but took longer than expected
FDB-00262,CASE-00675,CON-00880,DLR-08,VHL-044,20240301,4,8,Good overall service
FDB-00263,CASE-00676,CON-03817,DLR-06,VHL-008,20240707,2,3,Not satisfied with the experience
FDB-00264,CASE-00677,CON-03153,DLR-08,VHL-008,20230224,4,8,Good overall service
FDB-00265,CASE-00686,CON-00295,DLR-08,VHL-030,20240913,4,9,Satisfied but communication could improve
FDB-00266,CASE-00687,CON-00897,DLR-07,VHL-032,20230811,3,5,Service was acceptable
FDB-00267,CASE-00691,CON-02498,DLR-12,VHL-005,20230301,5,9,Excellent support from the service team
FDB-00268,CASE-00693,CON-05660,DLR-08,VHL-007,20230310,3,6,Average experience
FDB-00269,CASE-00694,CON-05206,DLR-04,VHL-032,20241207,4,8,Issue solved with minor delays
FDB-00270,CASE-00696,CON-00629,DLR-04,VHL-023,20231214,4,7,Satisfied but communication could improve
FDB-00271,CASE-00697,CON-04222,DLR-05,VHL-040,20231031,4,9,Satisfied but communication could improve
FDB-00272,CASE-00698,CON-05414,DLR-08,VHL-014,20230519,3,5,Average experience
FDB-00273,CASE-00700,CON-01668,DLR-02,VHL-041,20231028,5,9,Quick resolution and good communication
FDB-00274,CASE-00703,CON-00688,DLR-01,VHL-004,20240609,3,5,Service was acceptable
FDB-00275,CASE-00704,CON-01152,DLR-02,VHL-026,20240423,2,3,Needed multiple follow-ups to get help
FDB-00276,CASE-00708,CON-02525,DLR-08,VHL-024,20230413,4,7,Satisfied but communication could improve
FDB-00277,CASE-00709,CON-02073,DLR-11,VHL-016,20230206,4,7,Good overall service
FDB-00278,CASE-00712,CON-03383,DLR-08,VHL-031,20230224,3,5,Problem solved but took longer than expected
FDB-00279,CASE-00714,CON-05252,DLR-11,VHL-029,20240414,4,7,Satisfied but communication could improve
