lead_id,created_date_key,dealer_id,contact_id,lead_source,lead_status,vehicle_interest,assigned_to_rep,first_response_hours,is_converted,converted_date_key,opportunity_id,lost_reason,age_at_close_days,region
LD-00061,20230819,DLR-08,CON-05019,Campaign,Qualified,VHL-033,REP-14,19.21,False,,,,28,East
LD-00062,20230421,DLR-08,CON-02124,Campaign,Lost,VHL-016,REP-21,22.14,False,,,Price,16,East
LD-00063,20230714,DLR-05,CON-01921,Web Form,Qualified,VHL-018,REP-11,4.07,False,,,,4,South
LD-00064,20230415,DLR-03,CON-05787,Walk-in,Converted,VHL-014,REP-03,0.14,True,20230415.0,OPP-00296,,22,North
LD-00065,20240201,DLR-04,CON-03442,Walk-in,New,VHL-025,REP-19,0.74,False,,,,28,South
LD-00066,20240707,DLR-01,CON-02882,Walk-in,Lost,VHL-020,REP-13,0.91,False,,,Bought Elsewhere,48,North
LD-00067,20240614,DLR-04,CON-04000,Campaign,New,VHL-015,REP-09,23.28,False,,,,10,South
LD-00068,20240427,DLR-12,CON-01353,Campaign,Qualified,VHL-030,REP-05,34.04,False,,,,29,West
LD-00069,20231014,DLR-01,CON-00688,Walk-in,Converted,VHL-042,REP-14,0.61,True,20231014.0,OPP-02718,,30,North
LD-00070,20230507,DLR-06,CON-01734,Web Form,Lost,VHL-030,REP-11,5.92,False,,,No Response,54,South
LD-00071,20231103,DLR-08,CON-00159,Campaign,Working,VHL-035,REP-02,27.61,False,,,,20,East
LD-00072,20230220,DLR-01,CON-00255,Phone Inbound,Lost,VHL-016,REP-07,0.48,False,,,Price,31,North
LD-00073,20240427,DLR-04,CON-03810,Walk-in,Working,VHL-045,REP-09,0.49,False,,,,19,South
LD-00074,20241204,DLR-03,CON-02549,Campaign,Converted,VHL-007,REP-19,39.65,True,20241204.0,OPP-02752,,20,North
LD-00075,20240226,DLR-07,CON-03250,Social Media,Lost,VHL-013,REP-03,4.56,False,,,No Response,45,East
LD-00076,20240712,DLR-10,CON-00992,Campaign,Qualified,VHL-037,REP-02,32.22,False,,,,11,West
LD-00077,20230220,DLR-01,CON-03442,Referral,Working,VHL-032,REP-04,3.13,False,,,,28,North
LD-00078,20240831,DLR-07,CON-01443,Referral,Converted,VHL-034,REP-21,2.55,True,20240831.0,OPP-01936,,35,East
LD-00079,20240714,DLR-12,CON-04854,Walk-in,Lost,VHL-018,REP-11,0.53,False,,,Price,57,West
LD-00080,20231124,DLR-10,CON-05000,Campaign,Qualified,VHL-043,REP-13,4.12,False,,,,10,West
LD-00081,20230507,DLR-05,CON-02789,Web Form,Working,VHL-018,REP-20,7.62,False,,,,0,South
LD-00082,20240113,DLR-04,CON-03330,Web Form,Lost,VHL-032,REP-18,9.93,False,,,No Budget,32,South
LD-00083,20231122,DLR-05,CON-01816,Web Form,Lost,VHL-026,REP-23,14.41,False,,,Price,36,South
LD-00084,20240124,DLR-12,CON-04509,Walk-in,Working,VHL-022,REP-12,0.34,False,,,,8,West
LD-00085,20230612,DLR-06,CON-00980,Campaign,Working,VHL-035,REP-23,15.92,False,,,,15,South
LD-00086,20230715,DLR-09,CON-04889,Referral,Working,VHL-019,REP-04,2.25,False,,,,11,East
LD-00087,20230505,DLR-09,CON-01037,Web Form,Qualified,VHL-018,REP-02,12.16,False,,,,22,East
LD-00088,20241119,DLR-08,CON-00841,Referral,Converted,VHL-001,REP-19,3.49,True,20241119.0,OPP-00058,,31,East
LD-00089,20231117,DLR-01,CON-02069,Web Form,Working,VHL-031,REP-04,6.38,False,,,,2,North
LD-00090,20240227,DLR-03,CON-01223,Referral,Converted,VHL-037,REP-10,3.77,True,20240227.0,OPP-03273,,16,North
LD-00091,20230324,DLR-10,CON-04884,Campaign,Working,VHL-040,REP-08,24.97,False,,,,29,West
LD-00092,20231118,DLR-07,CON-02502,Campaign,Converted,VHL-037,REP-20,33.69,True,20231118.0,OPP-01344,,7,East
LD-00093,20241122,DLR-04,CON-02168,Web Form,Converted,VHL-043,REP-03,5.69,True,20241122.0,OPP-01017,,12,South
LD-00094,20240208,DLR-07,CON-03691,Web Form,New,VHL-045,REP-20,7.19,False,,,,9,East
LD-00095,20240525,DLR-08,CON-00584,Referral,Lost,VHL-044,REP-08,2.41,False,,,No Budget,43,East
LD-00096,20240805,DLR-02,CON-04462,Web Form,Converted,VHL-015,REP-21,2.65,True,20240805.0,OPP-03628,,18,North
LD-00097,20240828,DLR-03,CON-02520,Web Form,Lost,VHL-039,REP-24,9.68,False,,,Price,30,North
LD-00098,20240511,DLR-05,CON-04100,Referral,Qualified,VHL-035,REP-16,3.39,False,,,,28,South
LD-00099,20231110,DLR-05,CON-00212,Web Form,Lost,VHL-006,REP-08,8.52,False,,,No Budget,2,South
LD-00100,20241231,DLR-05,CON-04721,Referral,Lost,VHL-003,REP-06,2.65,False,,,Other,12,South
LD-00101,20241229,DLR-08,CON-00748,Walk-in,Converted,VHL-031,REP-12,0.1,True,20241229.0,OPP-03076,,21,East
LD-00102,20240428,DLR-06,CON-03373,Campaign,Lost,VHL-045,REP-16,19.79,False,,,Bought Elsewhere,36,South
LD-00103,20230127,DLR-05,CON-02649,Web Form,Lost,VHL-008,REP-13,7.13,False,,,No Response,56,South
LD-00104,20240201,DLR-04,CON-04248,Walk-in,Lost,VHL-024,REP-20,0.26,False,,,No Budget,14,South
LD-00105,20230709,DLR-05,CON-03590,Web Form,Converted,VHL-045,REP-16,7.85,True,20230709.0,OPP-00975,,41,South
LD-00106,20240318,DLR-03,CON-02546,Web Form,New,VHL-036,REP-01,10.12,False,,,,26,North
LD-00107,20241027,DLR-02,CON-05307,Walk-in,Working,VHL-010,REP-16,1.07,False,,,,22,North
LD-00108,20230713,DLR-08,CON-01997,Campaign,Working,VHL-030,REP-18,25.75,False,,,,19,East
LD-00109,20240107,DLR-02,CON-02264,Social Media,Qualified,VHL-027,REP-11,39.09,False,,,,26,North
LD-00110,20230102,DLR-10,CON-04751,Campaign,Qualified,VHL-043,REP-16,23.26,False,,,,15,West
LD-00111,20230911,DLR-09,CON-03091,Walk-in,Lost,VHL-030,REP-11,0.1,False,,,Price,25,East
LD-00112,20230614,DLR-01,CON-02607,Campaign,Working,VHL-031,REP-23,23.73,False,,,,21,North
LD-00113,20240726,DLR-03,CON-04058,Referral,Qualified,VHL-003,REP-05,3.09,False,,,,27,North
LD-00114,20230313,DLR-02,CON-04309,Campaign,Working,VHL-030,REP-01,48.63,False,,,,20,North
LD-00115,20241208,DLR-05,CON-02774,Web Form,New,VHL-040,REP-23,7.73,False,,,,10,South
LD-00116,20240915,DLR-07,CON-02595,Campaign,Qualified,VHL-041,REP-23,27.02,False,,,,17,East
LD-00117,20230127,DLR-11,CON-05607,Web Form,Qualified,VHL-019,REP-08,8.36,False,,,,3,West
LD-00118,20240704,DLR-02,CON-03635,Referral,Converted,VHL-011,REP-23,1.25,True,20240704.0,OPP-00998,,2,North
LD-00119,20230203,DLR-05,CON-02937,Campaign,Qualified,VHL-024,REP-14,35.43,False,,,,18,South
LD-00120,20240506,DLR-03,CON-00647,Web Form,Working,VHL-040,REP-13,11.51,False,,,,29,North
LD-00121,20240302,DLR-11,CON-02081,Web Form,Lost,VHL-030,REP-09,11.66,False,,,Price,19,West
LD-00122,20240503,DLR-08,CON-02831,Web Form,Qualified,VHL-038,REP-10,4.86,False,,,,8,East
LD-00123,20231129,DLR-07,CON-03959,Web Form,Working,VHL-007,REP-08,14.11,False,,,,9,East
LD-00124,20241226,DLR-11,CON-03243,Web Form,Lost,VHL-018,REP-01,2.89,False,,,No Budget,4,West
LD-00125,20241025,DLR-05,CON-01886,Campaign,Working,VHL-039,REP-12,29.87,False,,,,8,South
LD-00126,20240503,DLR-11,CON-05578,Campaign,Converted,VHL-009,REP-21,45.9,True,20240503.0,OPP-01620,,41,West
LD-00127,20240411,DLR-08,CON-00274,Web Form,New,VHL-038,REP-12,4.54,False,,,,9,East
LD-00128,20230829,DLR-04,CON-01083,Walk-in,Lost,VHL-035,REP-12,0.33,False,,,No Budget,17,South
LD-00129,20241028,DLR-05,CON-02775,Social Media,Working,VHL-008,REP-15,37.2,False,,,,30,South
LD-00130,20230608,DLR-11,CON-03256,Referral,Converted,VHL-036,REP-12,2.24,True,20230608.0,OPP-00777,,26,West
LD-00131,20230111,DLR-08,CON-03020,Walk-in,Qualified,VHL-044,REP-24,0.1,False,,,,26,East
LD-00132,20240405,DLR-11,CON-01916,Walk-in,Lost,VHL-031,REP-01,0.52,False,,,Bought Elsewhere,40,West
LD-00133,20230605,DLR-08,CON-05744,Web Form,New,VHL-020,REP-21,4.25,False,,,,30,East
LD-00134,20230128,DLR-02,CON-00797,Phone Inbound,Converted,VHL-016,REP-18,0.32,True,20230128.0,OPP-00218,,30,North
LD-00135,20230927,DLR-12,CON-04426,Social Media,Working,VHL-027,REP-19,24.97,False,,,,13,West
LD-00136,20240417,DLR-10,CON-03344,Campaign,Working,VHL-018,REP-02,39.5,False,,,,14,West
LD-00137,20241124,DLR-02,CON-05618,Campaign,Lost,VHL-024,REP-18,16.17,False,,,No Response,18,North
LD-00138,20230513,DLR-08,CON-00751,Web Form,Qualified,VHL-043,REP-07,7.21,False,,,,0,East
LD-00139,20230207,DLR-03,CON-04626,Web Form,Qualified,VHL-014,REP-03,11.75,False,,,,18,North
LD-00140,20230601,DLR-06,CON-01209,Campaign,Lost,VHL-039,REP-01,11.69,False,,,Other,35,South
LD-00141,20230627,DLR-11,CON-00212,Web Form,Lost,VHL-009,REP-01,9.41,False,,,No Budget,2,West
LD-00142,20230501,DLR-12,CON-03449,Web Form,Qualified,VHL-034,REP-04,13.73,False,,,,24,West
LD-00143,20230922,DLR-08,CON-04128,Referral,Converted,VHL-015,REP-20,0.59,True,20230922.0,OPP-04435,,43,East
LD-00144,20240117,DLR-01,CON-00499,Walk-in,Converted,VHL-031,REP-13,0.56,True,20240117.0,OPP-02330,,7,North
LD-00145,20231225,DLR-02,CON-00662,Social Media,New,VHL-021,REP-20,39.12,False,,,,19,North
LD-00146,20240401,DLR-06,CON-03121,Walk-in,Converted,VHL-039,REP-17,0.73,True,20240401.0,OPP-04064,,33,South
LD-00147,20240315,DLR-12,CON-00938,Web Form,Qualified,VHL-042,REP-21,3.55,False,,,,27,West
LD-00148,20230531,DLR-04,CON-03390,Walk-in,Converted,VHL-022,REP-15,0.1,True,20230531.0,OPP-02847,,7,South
LD-00149,20230814,DLR-05,CON-03067,Web Form,New,VHL-010,REP-22,10.59,False,,,,26,South
LD-00150,20230304,DLR-12,CON-03053,Walk-in,Converted,VHL-009,REP-18,0.59,True,20230304.0,OPP-03948,,36,West
LD-00151,20240215,DLR-07,CON-02897,Referral,Lost,VHL-043,REP-14,3.38,False,,,Other,39,East
LD-00152,20230814,DLR-09,CON-01743,Web Form,Lost,VHL-010,REP-22,9.89,False,,,Price,36,East
LD-00153,20230925,DLR-10,CON-01853,Campaign,Lost,VHL-028,REP-18,17.2,False,,,No Budget,42,West
LD-00154,20240212,DLR-11,CON-05681,Referral,Converted,VHL-018,REP-01,3.35,True,20240212.0,OPP-02853,,45,West
LD-00155,20240705,DLR-06,CON-00051,Social Media,Working,VHL-012,REP-05,39.52,False,,,,4,South
LD-00156,20240619,DLR-02,CON-04346,Phone Inbound,Working,VHL-014,REP-13,0.14,False,,,,11,North
LD-00157,20230814,DLR-10,CON-04885,Web Form,Converted,VHL-006,REP-02,15.96,True,20230814.0,OPP-03862,,40,West
LD-00158,20230206,DLR-08,CON-05423,Web Form,Working,VHL-028,REP-16,10.4,False,,,,6,East
LD-00159,20240630,DLR-07,CON-00909,Web Form,Qualified,VHL-019,REP-22,3.73,False,,,,21,East
LD-00160,20230810,DLR-10,CON-00449,Web Form,Working,VHL-001,REP-07,11.13,False,,,,4,West
LD-00161,20240706,DLR-02,CON-00064,Web Form,New,VHL-032,REP-24,4.6,False,,,,17,North
LD-00162,20240522,DLR-11,CON-02902,Walk-in,New,VHL-005,REP-13,0.74,False,,,,0,West
LD-00163,20231201,DLR-06,CON-04717,Web Form,Lost,VHL-028,REP-19,13.13,False,,,No Response,26,South
LD-00164,20230116,DLR-10,CON-03770,Web Form,Converted,VHL-045,REP-12,5.22,True,20230116.0,OPP-02199,,7,West
LD-00165,20230621,DLR-09,CON-00645,Referral,Working,VHL-026,REP-10,4.45,False,,,,24,East
LD-00166,20230427,DLR-02,CON-04347,Walk-in,Working,VHL-033,REP-07,0.62,False,,,,23,North
LD-00167,20241129,DLR-03,CON-01936,Referral,Converted,VHL-007,REP-05,4.23,True,20241129.0,OPP-03701,,12,North
LD-00168,20240314,DLR-11,CON-00618,Campaign,Lost,VHL-012,REP-21,42.97,False,,,Bought Elsewhere,29,West
LD-00169,20240506,DLR-11,CON-05205,Social Media,Lost,VHL-040,REP-11,33.06,False,,,No Response,5,West
LD-00170,20231208,DLR-05,CON-04845,Referral,Working,VHL-004,REP-12,1.87,False,,,,14,South
LD-00171,20230128,DLR-05,CON-00629,Walk-in,Qualified,VHL-042,REP-03,0.23,False,,,,14,South
LD-00172,20240229,DLR-12,CON-00337,Phone Inbound,Working,VHL-029,REP-19,0.13,False,,,,15,West
LD-00173,20240102,DLR-08,CON-00848,Phone Inbound,Converted,VHL-022,REP-23,0.24,True,20240102.0,OPP-00826,,42,East
LD-00174,20230430,DLR-08,CON-03600,Web Form,Working,VHL-034,REP-17,9.86,False,,,,29,East
LD-00175,20230720,DLR-06,CON-05562,Walk-in,Lost,VHL-039,REP-02,0.58,False,,,Price,7,South
LD-00176,20240213,DLR-05,CON-05379,Walk-in,Converted,VHL-039,REP-05,0.75,True,20240213.0,OPP-01036,,38,South
LD-00177,20240423,DLR-05,CON-05375,Social Media,Qualified,VHL-045,REP-22,36.16,False,,,,30,South
LD-00178,20230303,DLR-11,CON-02691,Walk-in,Lost,VHL-009,REP-22,0.94,False,,,Other,59,West
LD-00179,20240120,DLR-07,CON-04166,Referral,Converted,VHL-024,REP-01,2.6,True,20240120.0,OPP-00262,,12,East
LD-00180,20241124,DLR-08,CON-01573,Web Form,Converted,VHL-015,REP-05,19.38,True,20241124.0,OPP-03004,,19,East
LD-00181,20240910,DLR-09,CON-04314,Web Form,Lost,VHL-003,REP-22,11.0,False,,,No Response,25,East
LD-00182,20230417,DLR-12,CON-05118,Web Form,Working,VHL-011,REP-24,5.07,False,,,,21,West
LD-00183,20240603,DLR-10,CON-02335,Phone Inbound,Working,VHL-029,REP-08,0.1,False,,,,25,West
LD-00184,20240721,DLR-04,CON-03014,Social Media,Qualified,VHL-044,REP-19,41.79,False,,,,9,South
LD-00185,20240716,DLR-07,CON-01328,Walk-in,Converted,VHL-013,REP-20,0.43,True,20240716.0,OPP-03645,,17,East
LD-00186,20230208,DLR-06,CON-04543,Walk-in,Lost,VHL-007,REP-23,0.71,False,,,Price,49,South
LD-00187,20230421,DLR-09,CON-01208,Walk-in,Working,VHL-028,REP-03,0.64,False,,,,14,East
LD-00188,20241006,DLR-07,CON-00437,Social Media,Working,VHL-026,REP-17,35.13,False,,,,2,East
LD-00189,20230930,DLR-02,CON-05325,Web Form,Converted,VHL-022,REP-05,5.11,True,20230930.0,OPP-01758,,19,North
LD-00190,20241030,DLR-03,CON-05780,Walk-in,Lost,VHL-031,REP-15,0.1,False,,,Price,14,North
LD-00191,20240904,DLR-12,CON-04988,Walk-in,Converted,VHL-034,REP-14,0.37,True,20240904.0,OPP-02305,,19,West
LD-00192,20230617,DLR-04,CON-03440,Web Form,New,VHL-041,REP-20,11.93,False,,,,28,South
LD-00193,20240101,DLR-11,CON-04222,Walk-in,Working,VHL-037,REP-08,0.56,False,,,,0,West
LD-00194,20240321,DLR-07,CON-01535,Web Form,Converted,VHL-043,REP-22,3.52,True,20240321.0,OPP-03782,,24,East
LD-00195,20230219,DLR-09,CON-04159,Walk-in,Converted,VHL-036,REP-01,0.55,True,20230219.0,OPP-00126,,31,East
LD-00196,20230201,DLR-06,CON-02078,Walk-in,Working,VHL-002,REP-12,0.62,False,,,,23,South
LD-00197,20240419,DLR-10,CON-02724,Web Form,Working,VHL-009,REP-02,4.96,False,,,,20,West
LD-00198,20230502,DLR-08,CON-05697,Campaign,New,VHL-031,REP-21,25.54,False,,,,22,East
LD-00199,20240715,DLR-05,CON-01652,Walk-in,Working,VHL-003,REP-07,0.52,False,,,,9,South
LD-00200,20240112,DLR-09,CON-03879,Phone Inbound,Working,VHL-017,REP-02,0.1,False,,,,11,East
LD-00201,20240921,DLR-11,CON-02720,Web Form,Qualified,VHL-018,REP-04,9.93,False,,,,12,West
LD-00202,20240621,DLR-07,CON-02778,Social Media,Working,VHL-012,REP-16,42.73,False,,,,25,East
LD-00203,20240115,DLR-12,CON-03478,Campaign,Lost,VHL-006,REP-14,34.83,False,,,Price,21,West
LD-00204,20230314,DLR-05,CON-02511,Web Form,Working,VHL-029,REP-20,12.72,False,,,,14,South
LD-00205,20230915,DLR-06,CON-05037,Web Form,Lost,VHL-028,REP-09,2.99,False,,,No Response,43,South
LD-00206,20240405,DLR-12,CON-05566,Walk-in,Converted,VHL-011,REP-01,0.22,True,20240405.0,OPP-01003,,39,West
LD-00207,20240504,DLR-03,CON-00551,Walk-in,Converted,VHL-016,REP-21,0.65,True,20240504.0,OPP-02888,,25,North
LD-00208,20241123,DLR-03,CON-05563,Web Form,Lost,VHL-029,REP-12,10.56,False,,,No Budget,34,North
LD-00209,20230925,DLR-05,CON-02045,Web Form,Qualified,VHL-008,REP-01,10.56,False,,,,12,South
LD-00210,20241027,DLR-05,CON-05768,Web Form,Working,VHL-029,REP-07,23.91,False,,,,29,South
LD-00211,20241230,DLR-03,CON-00607,Web Form,Qualified,VHL-029,REP-06,10.78,False,,,,2,North
LD-00212,20240812,DLR-06,CON-05471,Phone Inbound,Converted,VHL-023,REP-23,0.42,True,20240812.0,OPP-03215,,35,South
LD-00213,20230725,DLR-03,CON-05737,Web Form,Qualified,VHL-041,REP-06,12.32,False,,,,3,North
LD-00214,20241220,DLR-04,CON-04048,Campaign,Working,VHL-002,REP-12,30.51,False,,,,25,South
LD-00215,20241218,DLR-02,CON-00539,Web Form,Lost,VHL-020,REP-13,7.24,False,,,Price,50,North
LD-00216,20231025,DLR-03,CON-02598,Referral,Lost,VHL-042,REP-03,4.14,False,,,Bought Elsewhere,57,North
LD-00217,20240831,DLR-10,CON-01491,Walk-in,Converted,VHL-009,REP-14,0.27,True,20240831.0,OPP-03632,,4,West
LD-00218,20240902,DLR-05,CON-01349,Walk-in,Working,VHL-011,REP-11,0.43,False,,,,30,South
LD-00219,20241117,DLR-02,CON-02053,Social Media,Working,VHL-013,REP-21,30.18,False,,,,20,North
LD-00220,20230804,DLR-09,CON-05251,Walk-in,Working,VHL-011,REP-19,0.52,False,,,,21,East
LD-00221,20240327,DLR-06,CON-04618,Social Media,Lost,VHL-003,REP-01,63.78,False,,,Bought Elsewhere,17,South
LD-00222,20240414,DLR-07,CON-05064,Campaign,Lost,VHL-041,REP-01,5.33,False,,,No Response,20,East
LD-00223,20231219,DLR-11,CON-03327,Campaign,Converted,VHL-020,REP-15,30.86,True,20231219.0,OPP-01060,,4,West
LD-00224,20230420,DLR-08,CON-01672,Walk-in,Converted,VHL-022,REP-20,0.1,True,20230420.0,OPP-02257,,21,East
LD-00225,20240614,DLR-07,CON-01072,Campaign,Working,VHL-024,REP-17,19.28,False,,,,14,East
LD-00226,20230326,DLR-03,CON-00794,Walk-in,Lost,VHL-004,REP-10,0.83,False,,,Bought Elsewhere,56,North
LD-00227,20241019,DLR-10,CON-02562,Campaign,Qualified,VHL-013,REP-06,24.64,False,,,,15,West
LD-00228,20241002,DLR-02,CON-03222,Walk-in,Working,VHL-033,REP-15,0.18,False,,,,11,North
LD-00229,20230205,DLR-10,CON-05360,Web Form,New,VHL-044,REP-16,5.64,False,,,,3,West
LD-00230,20231110,DLR-12,CON-02997,Social Media,Converted,VHL-026,REP-12,44.16,True,20231110.0,OPP-01158,,4,West
LD-00231,20240222,DLR-09,CON-02365,Web Form,Lost,VHL-005,REP-13,5.58,False,,,No Response,40,East
LD-00232,20240505,DLR-02,CON-03227,Web Form,Working,VHL-024,REP-11,9.37,False,,,,4,North
LD-00233,20230519,DLR-09,CON-00330,Walk-in,Converted,VHL-003,REP-02,0.51,True,20230519.0,OPP-01829,,22,East
LD-00234,20240805,DLR-03,CON-04967,Walk-in,Converted,VHL-033,REP-05,0.3,True,20240805.0,OPP-03678,,40,North
