opportunity_id,lead_id,account_id,contact_id,vehicle_id,dealer_id,stage,deal_value_eur,discount_pct,net_revenue_eur,close_date_key,sales_cycle_days,lost_reason,probability_pct
OPP-00084,LD-08565,ACC-01466,CON-01477,VHL-037,DLR-10,Proposal,45000.0,2.85,43717.5,,20,,50
OPP-00085,LD-13954,ACC-01449,CON-02182,VHL-005,DLR-10,Proposal,30000.0,3.75,28875.0,,13,,50
OPP-00086,LD-05759,ACC-02543,CON-01148,VHL-026,DLR-04,Closed Won,43000.0,10.46,38502.2,20230905.0,33,,100
OPP-00087,LD-13553,ACC-00666,CON-02532,VHL-017,DLR-12,Closed Won,27000.0,10.83,24075.9,20241231.0,22,,100
OPP-00088,LD-07826,ACC-00102,CON-02244,VHL-024,DLR-11,Closed Lost,24000.0,11.42,21259.2,20241226.0,33,Competitor,0
OPP-00089,LD-10717,ACC-02744,CON-03022,VHL-037,DLR-09,Closed Lost,45000.0,8.04,41382.0,20240803.0,44,No Decision,0
OPP-00090,LD-12184,ACC-01567,CON-01058,VHL-024,DLR-02,Closed Won,24000.0,4.9,22824.0,20240119.0,13,,100
OPP-00091,LD-10935,ACC-00818,CON-02626,VHL-013,DLR-09,Closed Lost,28000.0,10.59,25034.8,20230906.0,21,Delay,0
OPP-00092,LD-09845,ACC-00914,CON-01644,VHL-018,DLR-10,Closed Won,35000.0,5.25,33162.5,20231028.0,21,,100
OPP-00093,LD-13433,ACC-01142,CON-05338,VHL-040,DLR-04,Qualified,68000.0,2.16,66531.2,,39,,25
OPP-00094,LD-09853,ACC-01439,CON-00010,VHL-011,DLR-02,Closed Won,34000.0,9.74,30688.4,20230710.0,24,,100
OPP-00095,LD-12272,ACC-00114,CON-03197,VHL-009,DLR-09,Closed Won,35000.0,5.2,33180.0,20230816.0,28,,100
OPP-00096,LD-15939,ACC-02379,CON-04312,VHL-003,DLR-08,Proposal,26000.0,8.79,23714.6,,18,,50
OPP-00097,LD-12062,ACC-02444,CON-03052,VHL-002,DLR-03,Closed Lost,22000.0,4.65,20977.0,20230809.0,13,Price,0
OPP-00098,LD-08885,ACC-01578,CON-02335,VHL-027,DLR-12,Closed Won,47000.0,5.32,44499.6,20240724.0,14,,100
OPP-00099,LD-11013,ACC-02904,CON-00385,VHL-017,DLR-10,Closed Lost,27000.0,4.59,25760.7,20230311.0,9,Price,0
OPP-00100,LD-09753,ACC-01492,CON-02690,VHL-007,DLR-05,Closed Won,39000.0,8.45,35704.5,20241231.0,19,,100
OPP-00101,LD-04501,ACC-02553,CON-05143,VHL-005,DLR-04,Closed Won,30000.0,9.59,27123.0,20230527.0,28,,100
OPP-00102,LD-14638,ACC-02078,CON-03185,VHL-043,DLR-06,Negotiation,82000.0,6.09,77006.2,,37,,75
OPP-00103,LD-08965,ACC-02856,CON-04366,VHL-015,DLR-12,Negotiation,48000.0,4.86,45667.2,,32,,75
OPP-00104,LD-02186,ACC-02724,CON-05411,VHL-041,DLR-11,Negotiation,48000.0,1.76,47155.2,,44,,75
OPP-00105,LD-13871,ACC-02522,CON-05791,VHL-009,DLR-11,Closed Lost,35000.0,8.77,31930.5,20240604.0,18,Price,0
OPP-00106,LD-15270,ACC-01176,CON-01113,VHL-023,DLR-06,Closed Won,52000.0,10.0,46800.0,20230402.0,26,,100
OPP-00107,LD-14383,ACC-01905,CON-05384,VHL-018,DLR-06,Proposal,35000.0,8.79,31923.5,,27,,50
OPP-00108,LD-07718,ACC-03015,CON-01482,VHL-016,DLR-10,Closed Won,19000.0,8.58,17369.8,20240418.0,37,,100
OPP-00109,LD-05766,ACC-00383,CON-03780,VHL-007,DLR-02,Proposal,39000.0,2.59,37989.9,,28,,50
OPP-00110,LD-02124,ACC-00921,CON-00991,VHL-042,DLR-08,Closed Won,62000.0,6.26,58118.8,20240314.0,37,,100
OPP-00111,LD-05593,ACC-01003,CON-05553,VHL-017,DLR-01,Closed Won,27000.0,3.83,25965.9,20230117.0,9,,100
OPP-00112,LD-13599,ACC-01866,CON-05552,VHL-010,DLR-03,Closed Lost,17000.0,8.11,15621.3,20241010.0,11,Price,0
OPP-00113,LD-13754,ACC-02025,CON-04375,VHL-043,DLR-10,Closed Won,82000.0,2.36,80064.8,20240312.0,42,,100
OPP-00114,LD-13104,ACC-03076,CON-05075,VHL-004,DLR-05,Closed Won,32000.0,3.18,30982.4,20230329.0,7,,100
OPP-00115,LD-09320,ACC-00897,CON-05318,VHL-018,DLR-02,Closed Won,35000.0,10.47,31335.5,20230222.0,34,,100
OPP-00116,LD-15951,ACC-00206,CON-05793,VHL-024,DLR-08,Proposal,24000.0,10.16,21561.6,,36,,50
OPP-00117,LD-15905,ACC-01870,CON-04262,VHL-033,DLR-01,Closed Won,28000.0,10.76,24987.2,20230607.0,14,,100
OPP-00118,LD-12351,ACC-02290,CON-00713,VHL-036,DLR-04,Proposal,39000.0,3.79,37521.9,,51,,50
OPP-00119,LD-15202,ACC-02510,CON-03992,VHL-024,DLR-09,Closed Won,24000.0,11.05,21348.0,20241206.0,35,,100
OPP-00120,LD-01597,ACC-02245,CON-03280,VHL-007,DLR-07,Closed Won,39000.0,9.14,35435.4,20230215.0,34,,100
OPP-00121,LD-13598,ACC-01844,CON-02674,VHL-035,DLR-02,Closed Won,16000.0,3.93,15371.2,20241031.0,37,,100
OPP-00122,LD-11973,ACC-03137,CON-05395,VHL-026,DLR-11,Negotiation,43000.0,4.48,41073.6,,24,,75
OPP-00123,LD-15412,ACC-01125,CON-01723,VHL-012,DLR-02,Closed Won,70000.0,5.88,65884.0,20240615.0,22,,100
OPP-00124,LD-01599,ACC-01113,CON-02251,VHL-042,DLR-01,Closed Won,62000.0,5.99,58286.2,20240913.0,33,,100
OPP-00125,LD-13461,ACC-00567,CON-02049,VHL-004,DLR-05,Closed Won,32000.0,9.14,29075.2,20241227.0,12,,100
OPP-00126,LD-00195,ACC-02894,CON-04159,VHL-036,DLR-09,Proposal,39000.0,3.3,37713.0,,27,,50
OPP-00127,LD-14688,ACC-02223,CON-00715,VHL-036,DLR-02,Proposal,39000.0,3.49,37638.9,,39,,50
OPP-00128,LD-11783,ACC-01596,CON-00719,VHL-010,DLR-07,Closed Won,17000.0,2.5,16575.0,20230722.0,33,,100
OPP-00129,LD-13397,ACC-03136,CON-01770,VHL-016,DLR-04,Closed Lost,19000.0,8.92,17305.2,20231027.0,8,Price,0
OPP-00130,LD-06433,ACC-03087,CON-01050,VHL-028,DLR-07,Closed Won,51000.0,10.98,45400.2,20240617.0,26,,100
OPP-00131,LD-11111,ACC-02205,CON-04766,VHL-024,DLR-09,Closed Won,24000.0,10.52,21475.2,20241104.0,33,,100
OPP-00132,LD-01139,ACC-02000,CON-04505,VHL-017,DLR-02,Closed Won,27000.0,7.42,24996.6,20230420.0,21,,100
OPP-00133,LD-15574,ACC-01593,CON-02221,VHL-036,DLR-11,Proposal,39000.0,3.62,37588.2,,19,,50
OPP-00134,LD-09503,ACC-02967,CON-01001,VHL-041,DLR-07,Closed Won,48000.0,5.75,45240.0,20230818.0,43,,100
OPP-00135,LD-15762,ACC-02549,CON-03416,VHL-033,DLR-11,Proposal,28000.0,6.24,26252.8,,15,,50
OPP-00136,LD-09264,ACC-00344,CON-02288,VHL-014,DLR-03,Closed Won,33000.0,9.26,29944.2,20240805.0,8,,100
OPP-00137,LD-11643,ACC-00745,CON-03719,VHL-019,DLR-07,Closed Won,29000.0,3.72,27921.2,20240519.0,36,,100
OPP-00138,LD-04143,ACC-01863,CON-00226,VHL-003,DLR-06,Qualified,26000.0,4.65,24791.0,,20,,25
OPP-00139,LD-11347,ACC-01140,CON-05281,VHL-014,DLR-06,Closed Won,33000.0,8.09,30330.3,20240713.0,31,,100
OPP-00140,LD-12670,ACC-00336,CON-01809,VHL-012,DLR-05,Closed Won,70000.0,8.66,63938.0,20231207.0,23,,100
OPP-00141,LD-15725,ACC-01434,CON-04280,VHL-024,DLR-12,Closed Won,24000.0,9.24,21782.4,20241229.0,10,,100
OPP-00142,LD-07447,ACC-03090,CON-02294,VHL-026,DLR-03,Negotiation,43000.0,3.05,41688.5,,9,,75
OPP-00143,LD-00497,ACC-02545,CON-00208,VHL-025,DLR-02,Qualified,69000.0,4.48,65908.8,,8,,25
OPP-00144,LD-08582,ACC-02311,CON-03731,VHL-032,DLR-01,Proposal,58000.0,3.51,55964.2,,14,,50
OPP-00145,LD-12925,ACC-03142,CON-00947,VHL-006,DLR-08,Closed Lost,36000.0,6.65,33606.0,20230420.0,23,Competitor,0
OPP-00146,LD-15719,ACC-03186,CON-02240,VHL-031,DLR-05,Closed Won,45000.0,11.17,39973.5,20240919.0,14,,100
OPP-00147,LD-06635,ACC-02371,CON-04813,VHL-028,DLR-10,Closed Won,51000.0,11.18,45298.2,20230529.0,13,,100
OPP-00148,LD-03283,ACC-01625,CON-03571,VHL-032,DLR-02,Qualified,58000.0,5.0,55100.0,,31,,25
OPP-00149,LD-14290,ACC-02829,CON-01064,VHL-038,DLR-07,Closed Lost,52000.0,2.78,50554.4,20230326.0,55,No Decision,0
OPP-00150,LD-08731,ACC-02803,CON-05350,VHL-033,DLR-03,Negotiation,28000.0,8.08,25737.6,,26,,75
OPP-00151,LD-14755,ACC-01423,CON-05196,VHL-005,DLR-12,Closed Won,30000.0,2.97,29109.0,20230519.0,9,,100
OPP-00152,LD-13448,ACC-02073,CON-05386,VHL-029,DLR-05,Closed Won,37000.0,8.45,33873.5,20230331.0,11,,100
OPP-00153,LD-14286,ACC-02008,CON-00875,VHL-008,DLR-04,Closed Won,52000.0,2.1,50908.0,20240127.0,33,,100
OPP-00154,LD-03819,ACC-02898,CON-00143,VHL-012,DLR-10,Proposal,70000.0,8.73,63889.0,,36,,50
OPP-00155,LD-08985,ACC-02523,CON-04945,VHL-001,DLR-04,Proposal,18000.0,3.23,17418.6,,24,,50
OPP-00156,LD-04575,ACC-01905,CON-02529,VHL-045,DLR-10,Closed Won,85000.0,4.77,80945.5,20231228.0,48,,100
OPP-00157,LD-00503,ACC-01321,CON-01586,VHL-019,DLR-12,Closed Won,29000.0,9.08,26366.8,20240228.0,24,,100
OPP-00158,LD-07984,ACC-01143,CON-03031,VHL-035,DLR-07,Closed Won,16000.0,9.98,14403.2,20240624.0,12,,100
OPP-00159,LD-04088,ACC-02335,CON-04425,VHL-026,DLR-12,Closed Lost,43000.0,5.18,40772.6,20231116.0,36,Price,0
OPP-00160,LD-01035,ACC-00745,CON-04751,VHL-042,DLR-07,Closed Won,62000.0,1.2,61256.0,20240827.0,38,,100
OPP-00161,LD-14882,ACC-01395,CON-05565,VHL-027,DLR-07,Closed Won,47000.0,5.69,44325.7,20231101.0,23,,100
OPP-00162,LD-10510,ACC-02277,CON-00001,VHL-002,DLR-05,Negotiation,22000.0,6.17,20642.6,,24,,75
OPP-00163,LD-00056,ACC-00989,CON-01391,VHL-043,DLR-12,Qualified,82000.0,6.69,76514.2,,23,,25
OPP-00164,LD-00911,ACC-02829,CON-01967,VHL-026,DLR-03,Closed Won,43000.0,6.9,40033.0,20231026.0,22,,100
OPP-00165,LD-08912,ACC-00071,CON-00411,VHL-045,DLR-12,Closed Won,85000.0,5.98,79917.0,20240818.0,46,,100
OPP-00166,LD-03043,ACC-01255,CON-04824,VHL-037,DLR-12,Qualified,45000.0,2.33,43951.5,,33,,25
OPP-00167,LD-13334,ACC-01743,CON-00517,VHL-001,DLR-07,Closed Won,18000.0,4.95,17109.0,20230531.0,29,,100
OPP-00168,LD-02868,ACC-02879,CON-04859,VHL-023,DLR-09,Closed Lost,52000.0,8.55,47554.0,20230717.0,29,Price,0
OPP-00169,LD-03738,ACC-01293,CON-04957,VHL-040,DLR-05,Negotiation,68000.0,2.38,66381.6,,30,,75
OPP-00170,LD-14456,ACC-00785,CON-03153,VHL-005,DLR-06,Proposal,30000.0,5.75,28275.0,,18,,50
OPP-00171,LD-02403,ACC-00412,CON-01730,VHL-024,DLR-06,Proposal,24000.0,6.37,22471.2,,25,,50
OPP-00172,LD-03014,ACC-00735,CON-01028,VHL-035,DLR-12,Closed Won,16000.0,5.17,15172.8,20241231.0,30,,100
OPP-00173,LD-08346,ACC-01124,CON-03595,VHL-040,DLR-01,Negotiation,68000.0,5.25,64430.0,,26,,75
OPP-00174,LD-12528,ACC-02857,CON-04623,VHL-001,DLR-02,Qualified,18000.0,2.38,17571.6,,25,,25
OPP-00175,LD-04863,ACC-00421,CON-03517,VHL-040,DLR-06,Closed Lost,68000.0,6.74,63416.8,20240712.0,49,No Decision,0
OPP-00176,LD-13017,ACC-01396,CON-05209,VHL-017,DLR-10,Closed Won,27000.0,6.72,25185.6,20240922.0,35,,100
OPP-00177,LD-12144,ACC-00468,CON-04081,VHL-006,DLR-08,Proposal,36000.0,2.36,35150.4,,37,,50
OPP-00178,LD-04589,ACC-02364,CON-01293,VHL-011,DLR-11,Closed Won,34000.0,5.21,32228.6,20240218.0,11,,100
OPP-00179,LD-14726,ACC-02306,CON-04547,VHL-027,DLR-10,Closed Won,47000.0,2.98,45599.4,20230406.0,16,,100
OPP-00180,LD-11298,ACC-00486,CON-04377,VHL-024,DLR-08,Closed Lost,24000.0,3.44,23174.4,20230630.0,22,Price,0
OPP-00181,LD-09778,ACC-03178,CON-04242,VHL-007,DLR-04,Closed Won,39000.0,6.77,36359.7,20241012.0,21,,100
OPP-00182,LD-12680,ACC-01218,CON-05569,VHL-042,DLR-09,Closed Won,62000.0,4.15,59427.0,20231001.0,46,,100
OPP-00183,LD-01135,ACC-02330,CON-00001,VHL-016,DLR-11,Closed Won,19000.0,11.41,16832.1,20230525.0,26,,100
OPP-00184,LD-09109,ACC-03125,CON-05113,VHL-012,DLR-04,Closed Won,70000.0,6.88,65184.0,20241231.0,13,,100
OPP-00185,LD-13074,ACC-00644,CON-02612,VHL-025,DLR-03,Proposal,69000.0,4.19,66108.9,,12,,50
OPP-00186,LD-01180,ACC-00011,CON-00614,VHL-035,DLR-02,Negotiation,16000.0,6.92,14892.8,,17,,75
OPP-00187,LD-07992,ACC-01193,CON-00615,VHL-005,DLR-01,Closed Won,30000.0,7.51,27747.0,20241216.0,37,,100
OPP-00188,LD-12350,ACC-02880,CON-01468,VHL-018,DLR-10,Qualified,35000.0,4.8,33320.0,,25,,25
OPP-00189,LD-02405,ACC-01084,CON-02260,VHL-007,DLR-08,Closed Won,39000.0,2.57,37997.7,20230802.0,21,,100
OPP-00190,LD-07167,ACC-01742,CON-00428,VHL-026,DLR-01,Closed Won,43000.0,8.13,39504.1,20240930.0,19,,100
OPP-00191,LD-14912,ACC-01089,CON-05102,VHL-022,DLR-01,Proposal,41000.0,4.3,39237.0,,16,,50
OPP-00192,LD-04567,ACC-01260,CON-01622,VHL-030,DLR-06,Closed Won,31000.0,3.14,30026.6,20240103.0,17,,100
OPP-00193,LD-12114,ACC-01799,CON-04119,VHL-032,DLR-11,Closed Won,58000.0,9.92,52246.4,20241231.0,25,,100
OPP-00194,LD-10757,ACC-01116,CON-02313,VHL-018,DLR-10,Proposal,35000.0,8.01,32196.5,,32,,50
OPP-00195,LD-09311,ACC-02450,CON-01521,VHL-008,DLR-06,Closed Won,52000.0,5.95,48906.0,20231122.0,12,,100
OPP-00196,LD-04283,ACC-02473,CON-02794,VHL-045,DLR-03,Qualified,85000.0,3.59,81948.5,,38,,25
OPP-00197,LD-02587,ACC-03133,CON-00039,VHL-022,DLR-07,Negotiation,41000.0,3.23,39675.7,,8,,75
OPP-00198,LD-14306,ACC-03126,CON-04818,VHL-003,DLR-11,Closed Won,26000.0,4.16,24918.4,20240422.0,9,,100
OPP-00199,LD-09121,ACC-01140,CON-00560,VHL-014,DLR-07,Closed Won,33000.0,5.76,31099.2,20240907.0,35,,100
OPP-00200,LD-08793,ACC-00374,CON-00544,VHL-032,DLR-12,Proposal,58000.0,7.18,53835.6,,38,,50
OPP-00201,LD-00963,ACC-02745,CON-04929,VHL-027,DLR-02,Closed Won,47000.0,6.18,44095.4,20241216.0,27,,100
OPP-00202,LD-12444,ACC-02842,CON-04218,VHL-009,DLR-02,Proposal,35000.0,3.13,33904.5,,33,,50
OPP-00203,LD-05101,ACC-03116,CON-04524,VHL-041,DLR-08,Closed Won,48000.0,5.64,45292.8,20230614.0,43,,100
OPP-00204,LD-09690,ACC-01034,CON-00349,VHL-004,DLR-06,Closed Won,32000.0,5.64,30195.2,20230731.0,27,,100
OPP-00205,LD-15038,ACC-02108,CON-05691,VHL-003,DLR-07,Closed Won,26000.0,9.76,23462.4,20240118.0,32,,100
