account_key,account_id,account_name,account_type,primary_contact_id,industry,country,is_active
67,ACC-00067,Company 0067,Corporate,CON-00654,Retail,Spain,True
68,ACC-00068,Company 0068,Corporate,CON-01908,Healthcare,Spain,True
69,ACC-00069,Company 0069,Corporate,CON-00828,Retail,Spain,True
70,ACC-00070,Company 0070,Corporate,CON-03114,Healthcare,Spain,True
71,ACC-00071,Company 0071,Corporate,CON-02278,Construction,Spain,True
72,ACC-00072,Company 0072,Corporate,CON-03715,Technology,Spain,True
73,ACC-00073,Company 0073,Corporate,CON-05208,Technology,Spain,False
74,ACC-00074,Company 0074,Corporate,CON-02989,Construction,Spain,True
75,ACC-00075,Company 0075,Corporate,CON-01333,Construction,Spain,True
76,ACC-00076,Company 0076,Corporate,CON-03033,Logistics,Spain,True
77,ACC-00077,Company 0077,Corporate,CON-02911,Hospitality,Spain,True
78,ACC-00078,Company 0078,Corporate,CON-01717,Hospitality,Spain,True
79,ACC-00079,Company 0079,Corporate,CON-05491,Retail,Spain,True
80,ACC-00080,Company 0080,Corporate,CON-02188,Retail,Spain,True
81,ACC-00081,Company 0081,Corporate,CON-05600,Hospitality,Spain,True
82,ACC-00082,Company 0082,Corporate,CON-05309,Construction,Spain,False
83,ACC-00083,Company 0083,Corporate,CON-00585,Logistics,Spain,True
84,ACC-00084,Company 0084,Corporate,CON-04991,Technology,Spain,True
85,ACC-00085,Company 0085,Corporate,CON-05202,Technology,Spain,True
86,ACC-00086,Company 0086,Corporate,CON-01402,Construction,Spain,True
87,ACC-00087,Company 0087,Corporate,CON-04376,Technology,Spain,True
88,ACC-00088,Company 0088,Corporate,CON-02006,Construction,Spain,False
89,ACC-00089,Company 0089,Corporate,CON-01339,Healthcare,Spain,True
90,ACC-00090,Company 0090,Corporate,CON-03787,Hospitality,Spain,True
91,ACC-00091,Company 0091,Corporate,CON-03109,Technology,Spain,False
92,ACC-00092,Company 0092,Corporate,CON-02212,Healthcare,Spain,False
93,ACC-00093,Company 0093,Corporate,CON-05243,Logistics,Spain,True
94,ACC-00094,Company 0094,Corporate,CON-05638,Healthcare,Spain,True
95,ACC-00095,Company 0095,Corporate,CON-04563,Technology,Spain,True
96,ACC-00096,Company 0096,Corporate,CON-01800,Healthcare,Spain,False
97,ACC-00097,Company 0097,Corporate,CON-05609,Retail,Spain,True
98,ACC-00098,Company 0098,Corporate,CON-02657,Technology,Spain,True
99,ACC-00099,Company 0099,Corporate,CON-00459,Technology,Spain,False
100,ACC-00100,Company 0100,Corporate,CON-01877,Technology,Spain,True
101,ACC-00101,Company 0101,Corporate,CON-00263,Logistics,Spain,False
102,ACC-00102,Company 0102,Corporate,CON-02585,Construction,Spain,False
103,ACC-00103,Company 0103,Corporate,CON-03287,Construction,Spain,False
104,ACC-00104,Company 0104,Corporate,CON-02194,Retail,Spain,True
105,ACC-00105,Company 0105,Corporate,CON-00543,Retail,Spain,True
106,ACC-00106,Company 0106,Corporate,CON-01729,Hospitality,Spain,True
107,ACC-00107,Company 0107,Corporate,CON-04647,Hospitality,Spain,False
108,ACC-00108,Company 0108,Corporate,CON-02578,Retail,Spain,True
109,ACC-00109,Company 0109,Corporate,CON-01742,Logistics,Spain,True
110,ACC-00110,Company 0110,Corporate,CON-05370,Technology,Spain,False
111,ACC-00111,Company 0111,Corporate,CON-04090,Logistics,Spain,True
112,ACC-00112,Company 0112,Corporate,CON-03242,Construction,Spain,False
113,ACC-00113,Company 0113,Corporate,CON-05267,Healthcare,Spain,True
114,ACC-00114,Company 0114,Corporate,CON-03759,Healthcare,Spain,True
115,ACC-00115,Company 0115,Corporate,CON-01171,Technology,Spain,True
116,ACC-00116,Company 0116,Corporate,CON-02170,Technology,Spain,True
117,ACC-00117,Company 0117,Corporate,CON-05794,Construction,Spain,True
118,ACC-00118,Company 0118,Corporate,CON-02021,Logistics,Spain,True
119,ACC-00119,Company 0119,Corporate,CON-04599,Retail,Spain,True
120,ACC-00120,Company 0120,Corporate,CON-04416,Retail,Spain,True
121,ACC-00121,Company 0121,Corporate,CON-02153,Logistics,Spain,False
122,ACC-00122,Company 0122,Corporate,CON-04789,Technology,Spain,True
123,ACC-00123,Company 0123,Corporate,CON-03510,Technology,Spain,True
124,ACC-00124,Company 0124,Corporate,CON-04781,Healthcare,Spain,True
125,ACC-00125,Company 0125,Corporate,CON-03272,Technology,Spain,True
126,ACC-00126,Company 0126,Corporate,CON-02966,Logistics,Spain,True
127,ACC-00127,Company 0127,Corporate,CON-01797,Healthcare,Spain,True
128,ACC-00128,Company 0128,Corporate,CON-01134,Construction,Spain,True
129,ACC-00129,Company 0129,Corporate,CON-04175,Hospitality,Spain,False
130,ACC-00130,Company 0130,Corporate,CON-04043,Logistics,Spain,True
131,ACC-00131,Company 0131,Corporate,CON-00745,Technology,Spain,True
132,ACC-00132,Company 0132,Corporate,CON-00386,Logistics,Spain,False
133,ACC-00133,Company 0133,Corporate,CON-00899,Technology,Spain,True
134,ACC-00134,Company 0134,Corporate,CON-01253,Healthcare,Spain,True
135,ACC-00135,Company 0135,Corporate,CON-05141,Construction,Spain,False
136,ACC-00136,Company 0136,Corporate,CON-01311,Logistics,Spain,True
137,ACC-00137,Company 0137,Corporate,CON-05575,Logistics,Spain,True
138,ACC-00138,Company 0138,Corporate,CON-03459,Retail,Spain,True
139,ACC-00139,Company 0139,Corporate,CON-04886,Construction,Spain,False
140,ACC-00140,Company 0140,Corporate,CON-00521,Construction,Spain,True
141,ACC-00141,Company 0141,Corporate,CON-03153,Logistics,Spain,True
142,ACC-00142,Company 0142,Corporate,CON-03127,Hospitality,Spain,True
143,ACC-00143,Company 0143,Corporate,CON-04882,Healthcare,Spain,True
144,ACC-00144,Company 0144,Corporate,CON-03835,Technology,Spain,True
145,ACC-00145,Company 0145,Corporate,CON-04335,Technology,Spain,True
146,ACC-00146,Company 0146,Corporate,CON-02060,Healthcare,Spain,False
147,ACC-00147,Company 0147,Corporate,CON-04533,Construction,Spain,True
148,ACC-00148,Company 0148,Corporate,CON-00095,Logistics,Spain,True
149,ACC-00149,Company 0149,Corporate,CON-05573,Logistics,Spain,False
150,ACC-00150,Company 0150,Corporate,CON-00939,Retail,Spain,False
151,ACC-00151,Company 0151,Corporate,CON-05585,Retail,Spain,True
152,ACC-00152,Company 0152,Corporate,CON-04399,Construction,Spain,True
153,ACC-00153,Company 0153,Corporate,CON-02186,Technology,Spain,True
154,ACC-00154,Company 0154,Corporate,CON-05251,Construction,Spain,True
155,ACC-00155,Company 0155,Corporate,CON-02787,Technology,Spain,True
156,ACC-00156,Company 0156,Corporate,CON-00914,Technology,Spain,True
157,ACC-00157,Company 0157,Corporate,CON-02405,Construction,Spain,True
158,ACC-00158,Company 0158,Corporate,CON-03562,Technology,Spain,False
159,ACC-00159,Company 0159,Corporate,CON-01296,Retail,Spain,True
160,ACC-00160,Company 0160,Corporate,CON-03717,Construction,Spain,False
161,ACC-00161,Company 0161,Corporate,CON-00027,Healthcare,Spain,True
162,ACC-00162,Company 0162,Corporate,CON-02158,Construction,Spain,False
163,ACC-00163,Company 0163,Corporate,CON-04101,Technology,Spain,True
164,ACC-00164,Company 0164,Corporate,CON-01464,Hospitality,Spain,True
165,ACC-00165,Company 0165,Corporate,CON-04159,Retail,Spain,True
166,ACC-00166,Company 0166,Corporate,CON-00872,Construction,Spain,False
167,ACC-00167,Company 0167,Corporate,CON-05123,Hospitality,Spain,False
168,ACC-00168,Company 0168,Corporate,CON-02445,Retail,Spain,True
169,ACC-00169,Company 0169,Corporate,CON-05235,Healthcare,Spain,True
170,ACC-00170,Company 0170,Corporate,CON-05636,Logistics,Spain,True
171,ACC-00171,Company 0171,Corporate,CON-04989,Logistics,Spain,True
172,ACC-00172,Company 0172,Corporate,CON-01630,Construction,Spain,True
173,ACC-00173,Company 0173,Corporate,CON-05667,Logistics,Spain,False
174,ACC-00174,Company 0174,Corporate,CON-03064,Hospitality,Spain,True
175,ACC-00175,Company 0175,Corporate,CON-01324,Technology,Spain,False
176,ACC-00176,Company 0176,Corporate,CON-04419,Healthcare,Spain,False
177,ACC-00177,Company 0177,Corporate,CON-04345,Logistics,Spain,True
178,ACC-00178,Company 0178,Corporate,CON-00005,Retail,Spain,True
179,ACC-00179,Company 0179,Corporate,CON-04907,Retail,Spain,True
180,ACC-00180,Company 0180,Corporate,CON-02656,Hospitality,Spain,True
181,ACC-00181,Company 0181,Corporate,CON-04003,Construction,Spain,True
182,ACC-00182,Company 0182,Corporate,CON-00160,Healthcare,Spain,True
183,ACC-00183,Company 0183,Corporate,CON-00917,Retail,Spain,False
184,ACC-00184,Company 0184,Corporate,CON-02974,Technology,Spain,True
185,ACC-00185,Company 0185,Corporate,CON-02520,Logistics,Spain,True
186,ACC-00186,Company 0186,Corporate,CON-01962,Logistics,Spain,False
187,ACC-00187,Company 0187,Corporate,CON-00475,Logistics,Spain,False
188,ACC-00188,Company 0188,Corporate,CON-01974,Hospitality,Spain,True
189,ACC-00189,Company 0189,Corporate,CON-04648,Retail,Spain,True
190,ACC-00190,Company 0190,Corporate,CON-05747,Logistics,Spain,True
191,ACC-00191,Company 0191,Corporate,CON-00702,Technology,Spain,True
192,ACC-00192,Company 0192,Corporate,CON-03982,Technology,Spain,True
193,ACC-00193,Company 0193,Corporate,CON-00567,Construction,Spain,False
194,ACC-00194,Company 0194,Corporate,CON-04364,Retail,Spain,True
195,ACC-00195,Company 0195,Corporate,CON-01031,Construction,Spain,True
196,ACC-00196,Company 0196,Corporate,CON-01052,Construction,Spain,True
197,ACC-00197,Company 0197,Corporate,CON-05405,Technology,Spain,True
198,ACC-00198,Company 0198,Corporate,CON-03894,Logistics,Spain,True
199,ACC-00199,Company 0199,Corporate,CON-04504,Healthcare,Spain,True
200,ACC-00200,Company 0200,Corporate,CON-01353,Hospitality,Spain,True
201,ACC-00201,Company 0201,Corporate,CON-02172,Retail,Spain,True
202,ACC-00202,Company 0202,Corporate,CON-04323,Healthcare,Spain,False
203,ACC-00203,Company 0203,Corporate,CON-04970,Hospitality,Spain,True
204,ACC-00204,Company 0204,Corporate,CON-03467,Logistics,Spain,False
205,ACC-00205,Company 0205,Corporate,CON-01736,Hospitality,Spain,True
206,ACC-00206,Company 0206,Corporate,CON-04418,Retail,Spain,True
207,ACC-00207,Company 0207,Corporate,CON-01648,Retail,Spain,True
208,ACC-00208,Company 0208,Corporate,CON-02554,Hospitality,Spain,True
209,ACC-00209,Company 0209,Corporate,CON-03269,Construction,Spain,True
210,ACC-00210,Company 0210,Corporate,CON-05503,Logistics,Spain,True
211,ACC-00211,Company 0211,Corporate,CON-05777,Construction,Spain,True
212,ACC-00212,Company 0212,Corporate,CON-03060,Healthcare,Spain,True
213,ACC-00213,Company 0213,Corporate,CON-03589,Healthcare,Spain,True
214,ACC-00214,Company 0214,Corporate,CON-04240,Construction,Spain,True
215,ACC-00215,Company 0215,Corporate,CON-03699,Hospitality,Spain,False
216,ACC-00216,Company 0216,Corporate,CON-00992,Construction,Spain,True
217,ACC-00217,Company 0217,Corporate,CON-02031,Construction,Spain,False
218,ACC-00218,Company 0218,Corporate,CON-01841,Technology,Spain,True
219,ACC-00219,Company 0219,Corporate,CON-00525,Retail,Spain,True
220,ACC-00220,Company 0220,Corporate,CON-02770,Hospitality,Spain,True
221,ACC-00221,Company 0221,Corporate,CON-00173,Logistics,Spain,True
222,ACC-00222,Company 0222,Corporate,CON-04820,Construction,Spain,True
223,ACC-00223,Company 0223,Corporate,CON-04538,Hospitality,Spain,True
224,ACC-00224,Company 0224,Corporate,CON-01886,Healthcare,Spain,True
225,ACC-00225,Company 0225,Corporate,CON-04821,Healthcare,Spain,True
226,ACC-00226,Company 0226,Corporate,CON-01805,Retail,Spain,True
227,ACC-00227,Company 0227,Corporate,CON-00059,Logistics,Spain,False
228,ACC-00228,Company 0228,Corporate,CON-00582,Logistics,Spain,True
229,ACC-00229,Company 0229,Corporate,CON-05170,Construction,Spain,True
230,ACC-00230,Company 0230,Corporate,CON-00483,Hospitality,Spain,True
231,ACC-00231,Company 0231,Corporate,CON-01876,Technology,Spain,True
232,ACC-00232,Company 0232,Corporate,CON-00553,Healthcare,Spain,True
233,ACC-00233,Company 0233,Corporate,CON-00258,Hospitality,Spain,False
234,ACC-00234,Company 0234,Corporate,CON-02707,Construction,Spain,True
235,ACC-00235,Company 0235,Corporate,CON-00581,Construction,Spain,True
236,ACC-00236,Company 0236,Corporate,CON-04212,Healthcare,Spain,True
237,ACC-00237,Company 0237,Corporate,CON-01950,Construction,Spain,True
238,ACC-00238,Company 0238,Corporate,CON-02282,Technology,Spain,True
239,ACC-00239,Company 0239,Corporate,CON-05481,Retail,Spain,True
240,ACC-00240,Company 0240,Corporate,CON-03977,Technology,Spain,False
241,ACC-00241,Company 0241,Corporate,CON-01756,Technology,Spain,True
242,ACC-00242,Company 0242,Corporate,CON-05595,Logistics,Spain,True
243,ACC-00243,Company 0243,Corporate,CON-01084,Hospitality,Spain,True
244,ACC-00244,Company 0244,Corporate,CON-04678,Healthcare,Spain,False
245,ACC-00245,Company 0245,Corporate,CON-04721,Logistics,Spain,True
246,ACC-00246,Company 0246,Corporate,CON-03873,Technology,Spain,True
247,ACC-00247,Company 0247,Corporate,CON-01991,Logistics,Spain,True
248,ACC-00248,Company 0248,Corporate,CON-03875,Construction,Spain,False
249,ACC-00249,Company 0249,Corporate,CON-03335,Technology,Spain,True
250,ACC-00250,Company 0250,Corporate,CON-01560,Healthcare,Spain,True
251,ACC-00251,Company 0251,Corporate,CON-00773,Hospitality,Spain,True
252,ACC-00252,Company 0252,Corporate,CON-00795,Hospitality,Spain,True
253,ACC-00253,Company 0253,Corporate,CON-05399,Technology,Spain,False
254,ACC-00254,Company 0254,Corporate,CON-03532,Logistics,Spain,True
255,ACC-00255,Company 0255,Corporate,CON-02903,Healthcare,Spain,True
256,ACC-00256,Company 0256,Corporate,CON-03470,Construction,Spain,True
257,ACC-00257,Company 0257,Corporate,CON-03368,Retail,Spain,True
258,ACC-00258,Company 0258,Corporate,CON-03826,Healthcare,Spain,True
259,ACC-00259,Company 0259,Corporate,CON-00444,Retail,Spain,False
260,ACC-00260,Company 0260,Corporate,CON-05517,Retail,Spain,True
261,ACC-00261,Company 0261,Corporate,CON-05354,Logistics,Spain,True
262,ACC-00262,Company 0262,Corporate,CON-05294,Construction,Spain,True
263,ACC-00263,Company 0263,Corporate,CON-00807,Construction,Spain,True
264,ACC-00264,Company 0264,Corporate,CON-00497,Construction,Spain,False
265,ACC-00265,Company 0265,Corporate,CON-03299,Healthcare,Spain,True
266,ACC-00266,Company 0266,Corporate,CON-02780,Healthcare,Spain,True
267,ACC-00267,Company 0267,Corporate,CON-00896,Hospitality,Spain,True
268,ACC-00268,Company 0268,Corporate,CON-02037,Construction,Spain,False
269,ACC-00269,Company 0269,Corporate,CON-01570,Retail,Spain,False
270,ACC-00270,Company 0270,Corporate,CON-01559,Retail,Spain,True
271,ACC-00271,Company 0271,Corporate,CON-04394,Logistics,Spain,True
272,ACC-00272,Company 0272,Corporate,CON-03676,Technology,Spain,True
273,ACC-00273,Company 0273,Corporate,CON-01149,Technology,Spain,True
274,ACC-00274,Company 0274,Corporate,CON-05788,Construction,Spain,True
275,ACC-00275,Company 0275,Corporate,CON-01504,Construction,Spain,True
276,ACC-00276,Company 0276,Corporate,CON-05563,Technology,Spain,True
277,ACC-00277,Company 0277,Corporate,CON-03790,Retail,Spain,False
278,ACC-00278,Company 0278,Corporate,CON-02047,Hospitality,Spain,True
279,ACC-00279,Company 0279,Corporate,CON-00618,Technology,Spain,True
280,ACC-00280,Company 0280,Corporate,CON-03631,Retail,Spain,True
281,ACC-00281,Company 0281,Corporate,CON-04509,Logistics,Spain,False
282,ACC-00282,Company 0282,Corporate,CON-00803,Healthcare,Spain,True
283,ACC-00283,Company 0283,Corporate,CON-00415,Logistics,Spain,False
284,ACC-00284,Company 0284,Corporate,CON-05343,Logistics,Spain,True
285,ACC-00285,Company 0285,Corporate,CON-04429,Logistics,Spain,True
286,ACC-00286,Company 0286,Corporate,CON-00121,Logistics,Spain,True
287,ACC-00287,Company 0287,Corporate,CON-00765,Construction,Spain,True
288,ACC-00288,Company 0288,Corporate,CON-01937,Healthcare,Spain,True
289,ACC-00289,Company 0289,Corporate,CON-01363,Technology,Spain,True
290,ACC-00290,Company 0290,Corporate,CON-03330,Hospitality,Spain,True
291,ACC-00291,Company 0291,Corporate,CON-03979,Logistics,Spain,True
292,ACC-00292,Company 0292,Corporate,CON-03944,Logistics,Spain,True
293,ACC-00293,Company 0293,Corporate,CON-01752,Technology,Spain,False
294,ACC-00294,Company 0294,Corporate,CON-03286,Construction,Spain,True
295,ACC-00295,Company 0295,Corporate,CON-00481,Retail,Spain,True
296,ACC-00296,Company 0296,Corporate,CON-01349,Logistics,Spain,False
297,ACC-00297,Company 0297,Corporate,CON-03105,Logistics,Spain,True
298,ACC-00298,Company 0298,Corporate,CON-00018,Hospitality,Spain,False
299,ACC-00299,Company 0299,Corporate,CON-03199,Technology,Spain,False
300,ACC-00300,Company 0300,Corporate,CON-02173,Healthcare,Spain,True
301,ACC-00301,Company 0301,Corporate,CON-03728,Healthcare,Spain,False
302,ACC-00302,Company 0302,Corporate,CON-02337,Construction,Spain,True
303,ACC-00303,Company 0303,Corporate,CON-03466,Construction,Spain,True
304,ACC-00304,Company 0304,Corporate,CON-04553,Retail,Spain,True
305,ACC-00305,Company 0305,Corporate,CON-05423,Healthcare,Spain,True
306,ACC-00306,Company 0306,Corporate,CON-03987,Logistics,Spain,True
307,ACC-00307,Company 0307,Corporate,CON-01269,Technology,Spain,True
308,ACC-00308,Company 0308,Corporate,CON-01556,Healthcare,Spain,False
309,ACC-00309,Company 0309,Corporate,CON-02431,Hospitality,Spain,False
310,ACC-00310,Company 0310,Corporate,CON-01784,Logistics,Spain,True
311,ACC-00311,Company 0311,Corporate,CON-00480,Retail,Spain,False
312,ACC-00312,Company 0312,Corporate,CON-04745,Construction,Spain,False
313,ACC-00313,Company 0313,Corporate,CON-04442,Construction,Spain,True
314,ACC-00314,Company 0314,Corporate,CON-00500,Technology,Spain,True
315,ACC-00315,Company 0315,Corporate,CON-02570,Healthcare,Spain,True
316,ACC-00316,Company 0316,Corporate,CON-00469,Healthcare,Spain,False
317,ACC-00317,Company 0317,Corporate,CON-00411,Retail,Spain,True
318,ACC-00318,Company 0318,Corporate,CON-04786,Healthcare,Spain,True
319,ACC-00319,Company 0319,Corporate,CON-03906,Construction,Spain,True
320,ACC-00320,Company 0320,Corporate,CON-04120,Retail,Spain,True
321,ACC-00321,Company 0321,Corporate,CON-04351,Logistics,Spain,True
322,ACC-00322,Company 0322,Corporate,CON-01290,Logistics,Spain,False
323,ACC-00323,Company 0323,Corporate,CON-00466,Hospitality,Spain,True
324,ACC-00324,Company 0324,Corporate,CON-04161,Hospitality,Spain,True
325,ACC-00325,Company 0325,Corporate,CON-00657,Construction,Spain,True
326,ACC-00326,Company 0326,Corporate,CON-01523,Construction,Spain,True
327,ACC-00327,Company 0327,Corporate,CON-00562,Retail,Spain,True
328,ACC-00328,Company 0328,Corporate,CON-04875,Construction,Spain,False
329,ACC-00329,Company 0329,Corporate,CON-00557,Retail,Spain,True
330,ACC-00330,Company 0330,Corporate,CON-01927,Construction,Spain,True
331,ACC-00331,Company 0331,Corporate,CON-03308,Hospitality,Spain,True
332,ACC-00332,Company 0332,Corporate,CON-00983,Technology,Spain,True
333,ACC-00333,Company 0333,Corporate,CON-04667,Hospitality,Spain,True
334,ACC-00334,Company 0334,Corporate,CON-02017,Technology,Spain,True
335,ACC-00335,Company 0335,Corporate,CON-04743,Hospitality,Spain,True
336,ACC-00336,Company 0336,Corporate,CON-04871,Hospitality,Spain,True
337,ACC-00337,Company 0337,Corporate,CON-00326,Healthcare,Spain,True
338,ACC-00338,Company 0338,Corporate,CON-05074,Construction,Spain,False
339,ACC-00339,Company 0339,Corporate,CON-00672,Logistics,Spain,True
340,ACC-00340,Company 0340,Corporate,CON-03435,Logistics,Spain,True
341,ACC-00341,Company 0341,Corporate,CON-05386,Hospitality,Spain,True
342,ACC-00342,Company 0342,Corporate,CON-04782,Logistics,Spain,False
343,ACC-00343,Company 0343,Corporate,CON-04631,Logistics,Spain,True
344,ACC-00344,Company 0344,Corporate,CON-04283,Hospitality,Spain,True
345,ACC-00345,Company 0345,Corporate,CON-02592,Construction,Spain,True
346,ACC-00346,Company 0346,Corporate,CON-02137,Technology,Spain,True
347,ACC-00347,Company 0347,Corporate,CON-01674,Retail,Spain,True
348,ACC-00348,Company 0348,Corporate,CON-02574,Logistics,Spain,True
349,ACC-00349,Company 0349,Corporate,CON-01956,Hospitality,Spain,True
350,ACC-00350,Company 0350,Corporate,CON-02176,Logistics,Spain,True
351,ACC-00351,Company 0351,Corporate,CON-03243,Logistics,Spain,True
352,ACC-00352,Company 0352,Corporate,CON-01073,Technology,Spain,False
353,ACC-00353,Company 0353,Corporate,CON-05288,Hospitality,Spain,True
354,ACC-00354,Company 0354,Corporate,CON-02458,Retail,Spain,True
355,ACC-00355,Company 0355,Corporate,CON-03746,Retail,Spain,True
356,ACC-00356,Company 0356,Corporate,CON-02591,Construction,Spain,False
357,ACC-00357,Company 0357,Corporate,CON-00595,Technology,Spain,False
358,ACC-00358,Company 0358,Corporate,CON-00077,Technology,Spain,True
359,ACC-00359,Company 0359,Corporate,CON-03755,Construction,Spain,True
360,ACC-00360,Company 0360,Corporate,CON-05089,Construction,Spain,True
361,ACC-00361,Company 0361,Corporate,CON-04613,Healthcare,Spain,True
362,ACC-00362,Company 0362,Corporate,CON-00820,Technology,Spain,True
363,ACC-00363,Company 0363,Corporate,CON-00601,Construction,Spain,True
364,ACC-00364,Company 0364,Corporate,CON-04405,Technology,Spain,True
365,ACC-00365,Company 0365,Corporate,CON-01747,Technology,Spain,False
366,ACC-00366,Company 0366,Corporate,CON-04145,Hospitality,Spain,True
367,ACC-00367,Company 0367,Corporate,CON-05501,Construction,Spain,True
368,ACC-00368,Company 0368,Corporate,CON-01086,Hospitality,Spain,True
369,ACC-00369,Company 0369,Corporate,CON-02860,Technology,Spain,True
370,ACC-00370,Company 0370,Corporate,CON-00564,Healthcare,Spain,True
371,ACC-00371,Company 0371,Corporate,CON-02002,Retail,Spain,True
372,ACC-00372,Company 0372,Corporate,CON-03028,Construction,Spain,True
373,ACC-00373,Company 0373,Corporate,CON-02335,Retail,Spain,True
374,ACC-00374,Company 0374,Corporate,CON-01293,Technology,Spain,True
375,ACC-00375,Company 0375,Corporate,CON-03590,Technology,Spain,True
376,ACC-00376,Company 0376,Corporate,CON-04451,Healthcare,Spain,True
377,ACC-00377,Company 0377,Corporate,CON-02479,Retail,Spain,True
378,ACC-00378,Company 0378,Corporate,CON-05011,Construction,Spain,True
